1 1 ozan 500 4.91667 46.3833
2 1 cormoranche-sur-saone 1000 4.83333 46.2333
3 1 plagne-01 100 5.73333 46.1833
4 1 tossiat 1400 5.31667 46.1333
5 1 pouillat 100 5.43333 46.3333
6 1 torcieu 700 5.4 45.9167
7 1 replonges 3300 4.88333 46.3
8 1 corcelles 200 5.58333 46.0333
9 1 peron 1900 5.93333 46.2
10 1 relevant 400 4.95 46.0833
11 1 chaveyriat 900 5.06667 46.1833
12 1 vaux-en-bugey 1100 5.35 45.9167
13 1 maillat 700 5.55 46.1333
14 1 faramans-01 600 5.11667 45.9
15 1 beon-01 400 5.75 45.8333
16 1 saint-bernard-01 1400 4.73723 45.945
17 1 rossillon 100 5.6 45.8333
18 1 pont-d-ain 2500 5.33333 46.05
19 1 nantua 3600 5.61667 46.15
20 1 chavannes-sur-reyssouze 700 5 46.4333
21 1 neuville-les-dames 1500 5 46.1667
22 1 flaxieu 100 5.73333 45.8167
23 1 hotonnes 300 5.68333 46
24 1 saint-sorlin-en-bugey 1100 5.36667 45.8833
25 1 songieu 100 5.7 45.9667
26 1 virieu-le-petit 300 5.71667 45.9
27 1 saint-denis-en-bugey 2100 5.33333 45.95
28 1 charnoz-sur-ain 900 5.21667 45.8667
29 1 chazey-sur-ain 1400 5.25 45.9
30 1 marchamp 100 5.55 45.7833
31 1 culoz 2900 5.78333 45.85
32 1 mantenay-montlin 300 5.08333 46.4167
33 1 marboz 2200 5.25 46.3333
34 1 foissiat 1900 5.18333 46.3667
35 1 treffort-cuisiat 2100 5.36834 46.2714
36 1 izieu 200 5.63333 45.65
37 1 saint-etienne-du-bois-01 2400 5.28333 46.2833
38 1 hauteville-lompnes 4200 5.6 45.9667
39 1 saint-trivier-sur-moignans 1900 4.9 46.0667
40 1 peyriat 200 5.51667 46.15
41 1 evosges 100 5.5 45.9583
42 1 poncin 1600 5.4 46.0833
43 1 crans-01 300 5.21667 45.9667
44 1 montreal-la-cluse 3500 5.57084 46.1867
45 1 cleyzieu 100 5.43333 45.9
46 1 lompnieu 100 5.65 45.9667
47 1 villereversure 1200 5.38333 46.1833
48 1 saint-martin-du-mont-01 1600 5.33333 46.1
49 1 saint-genis-pouilly 8400 6.01667 46.25
50 1 bolozon 100 5.48333 46.2
51 1 confrancon 1100 5.06667 46.2667
52 1 lochieu 100 5.71667 45.9333
53 1 chanoz-chatenay 700 5.03333 46.1833
54 1 villebois 1100 5.43333 45.85
55 1 ceignes 300 5.5 46.1167
56 1 saint-didier-sur-chalaronne 2700 4.81667 46.1667
57 1 revonnas 700 5.33333 46.1667
58 1 bourg-saint-christophe 1100 5.16667 45.8833
59 1 condeissiat 700 5.08333 46.1667
60 1 pirajoux 300 5.3 46.3833
61 1 chalamont 2200 5.16667 46
62 1 plantay 500 5.08333 46.0167
63 1 versailleux 300 5.1 45.9833
64 1 montagnat 1600 5.28333 46.1667
